Length	Amplitude	
302.005	-1.25679
302.318	-1.22891
302.632	-1.1808
302.945	-1.16157
303.258	-1.18212
303.571	-1.07203
303.885	-1.04665
304.198	-1.00541
304.511	-0.994721
304.825	-0.961344
305.138	-0.897667
305.451	-0.865029
305.764	-0.82098
306.078	-0.730422
306.391	-0.683529
306.704	-0.601462
307.017	-0.54001
307.331	-0.492958
307.644	-0.426207
307.957	-0.378952
308.271	-0.351572
308.584	-0.328058
308.897	-0.249552
309.211	-0.211329
309.524	-0.141265
309.837	-0.100812
310.15	-0.0592683
310.464	-0.0484633
310.777	-0.0598626
311.09	-0.0346254
311.404	0.0163761
311.717	0.0362041
312.03	0.0589304
312.343	0.0880601
312.657	0.102967
312.97	0.108037
313.283	0.109428
313.596	0.0801525
313.91	0.079425
314.223	0.144628
314.536	0.156368
314.85	0.173118
315.163	0.144889
315.476	0.108434
315.789	0.0744437
316.103	0.0814428
316.416	0.0869399
316.729	0.0495948
317.043	0.0294729
317.356	0.0445804
317.669	0.0168665
317.983	0.00607721
318.296	-0.00413596
318.609	-0.0362201
318.922	-0.05794
319.236	-0.0847471
319.549	-0.090032
319.862	-0.102169
320.175	-0.0750823
320.489	-0.10723
320.802	-0.102609
321.115	-0.104639
321.429	-0.0973336
321.742	-0.0998478
322.055	-0.0984282
322.368	-0.0567472
322.682	-0.0319534
322.995	0.00824418
323.308	0.0632909
323.622	0.0783343
323.935	0.133059
324.248	0.208208
324.561	0.22807
324.875	0.289238
325.188	0.343319
325.501	0.43094
325.815	0.44595
326.128	0.50029
326.441	0.548372
326.754	0.603173
327.068	0.630681
327.381	0.693702
327.694	0.788554
328.007	0.847269
328.321	0.797308
328.634	0.526435
328.947	0.442382
329.261	0.474254
329.574	0.474636
329.887	0.516842
330.2	0.490568
330.514	0.474919
330.827	0.463716
331.14	0.470862
331.454	0.470352
331.767	0.472657
332.08	0.53826
332.394	0.587179
332.707	0.654113
333.02	0.731075
333.333	0.819908
333.647	0.822444
333.96	0.810888
334.273	0.821817
334.587	0.846348
334.9	0.883727
335.213	0.900069
335.526	0.84863
335.84	0.846632
336.153	0.820393
336.466	0.810487
336.779	0.777699
337.093	0.781132
337.406	0.784228
337.719	0.749138
338.033	0.73557
338.346	0.706791
338.659	0.730108
338.972	0.719816
339.286	0.68902
339.599	0.698154
339.912	0.685612
340.226	0.667029
340.539	0.68342
340.852	0.679199
341.165	0.632902
341.479	0.658812
341.792	0.690453
342.105	0.704381
342.418	0.709973
342.732	0.698905
343.045	0.693404
343.358	0.718715
343.672	0.715932
343.985	0.746126
344.298	0.725669
344.611	0.716237
344.925	0.735258
345.238	0.762388
345.551	0.781673
345.865	0.733954
346.178	0.740378
346.491	0.743743
346.805	0.740393
347.118	0.724918
347.431	0.719379
347.744	0.687669
348.058	0.666206
348.371	0.645856
348.684	0.633821
348.998	0.598728
349.311	0.578499
349.624	0.573831
349.937	0.553289
350.251	0.54921
350.564	0.49483
350.877	0.485054
351.19	0.455702
351.504	0.432051
351.817	0.439947
352.13	0.467575
352.444	0.473005
352.757	0.492258
353.07	0.468079
353.384	0.468665
353.697	0.464606
354.01	0.503983
354.323	0.533418
354.637	0.547389
354.95	0.575939
355.263	0.543209
355.576	0.549554
355.89	0.546571
356.203	0.521443
356.516	0.529046
356.83	0.525405
